feature,phase,pos_nonzero,neg_nonzero,pos_avg,neg_avg,perfect_label_separator,separator_direction
service_port,safe_basic_precheck,18,17,5515.75,4817.5,False,mixed_or_unused
is_http_target,safe_basic_precheck,15,13,0.75,0.65,False,mixed_or_unused
is_non_http_service,safe_basic_precheck,1,3,0.05,0.15,False,mixed_or_unused
raw_file_count,safe_basic_precheck,0,0,0.0,0.0,False,mixed_or_unused
tool_httpx_success,safe_basic_precheck,0,0,0.0,0.0,False,mixed_or_unused
tool_nuclei_success,safe_basic_precheck,0,0,0.0,0.0,False,mixed_or_unused
tool_metasploit_success,postcheck_or_leak_risk,0,0,0.0,0.0,False,mixed_or_unused
metasploit_module_found,safe_basic_precheck,0,0,0.0,0.0,False,mixed_or_unused
version_in_vulnerable_range_true,conditional_precheck,4,0,0.2,0.0,True,positive_only
version_in_vulnerable_range_false,conditional_precheck,0,0,0.0,0.0,False,mixed_or_unused
version_not_affected,conditional_precheck,0,8,0.0,0.4,True,negative_only
version_patched,conditional_precheck,0,8,0.0,0.4,True,negative_only
precondition_pass_count,conditional_precheck,7,0,1.15,0.0,True,positive_only
precondition_fail_count,conditional_precheck,0,0,0.0,0.0,False,mixed_or_unused
negative_evidence_count,postcheck_or_leak_risk,0,20,0.0,3.25,True,negative_only
auth_required,conditional_precheck,0,4,0.0,0.2,True,negative_only
no_auth_required,conditional_precheck,1,0,0.05,0.0,True,positive_only
endpoint_reachable_count,conditional_precheck,0,0,0.0,0.0,False,mixed_or_unused
endpoint_missing_count,conditional_precheck,0,0,0.0,0.0,False,mixed_or_unused
method_put_allowed,conditional_precheck,0,0,0.0,0.0,False,mixed_or_unused
method_put_rejected,conditional_precheck,0,0,0.0,0.0,False,mixed_or_unused
ajp_port_open,conditional_precheck,1,0,0.05,0.0,True,positive_only
ajp_port_closed,conditional_precheck,0,1,0.0,0.05,True,negative_only
anonymous_access,conditional_precheck,2,0,0.1,0.0,True,positive_only
velocity_enabled,conditional_precheck,1,0,0.05,0.0,True,positive_only
invokefunction_reachable,conditional_precheck,1,0,0.05,0.0,True,positive_only
invokefunction_not_found,conditional_precheck,0,1,0.0,0.05,True,negative_only
admin_party_enabled,conditional_precheck,1,0,0.05,0.0,True,positive_only
spring_detected,conditional_precheck,0,0,0.0,0.0,False,mixed_or_unused
spring_not_detected,conditional_precheck,0,1,0.0,0.05,True,negative_only
wrong_software_type,conditional_precheck,0,1,0.0,0.05,True,negative_only
rce_confirmed,postcheck_or_leak_risk,4,0,0.2,0.0,True,positive_only
msf_check_confirmed,postcheck_or_leak_risk,10,0,0.5,0.0,True,positive_only
msf_check_not_vulnerable,postcheck_or_leak_risk,0,6,0.0,0.3,True,negative_only
nuclei_cve_confirmed,conditional_precheck,13,3,0.65,0.15,False,mixed_or_unused
nuclei_fingerprint_only,conditional_precheck,4,2,0.2,0.1,False,mixed_or_unused
nuclei_no_vuln_found,conditional_precheck,0,6,0.0,0.3,True,negative_only
manual_poc_failed,postcheck_or_leak_risk,0,5,0.0,0.25,True,negative_only
painless_sandbox_blocks,conditional_precheck,0,1,0.0,0.05,True,negative_only
path_traversal_blocked,conditional_precheck,0,3,0.0,0.15,True,negative_only
auth_blocks_exploit,conditional_precheck,0,0,0.0,0.0,False,mixed_or_unused
endpoint_not_found,conditional_precheck,0,0,0.0,0.0,False,mixed_or_unused
wrong_version,conditional_precheck,0,0,0.0,0.0,False,mixed_or_unused
no_msf_module,conditional_precheck,0,0,0.0,0.0,False,mixed_or_unused
