target_id,label,inferred_known_family,top1_family,top1_score,top2_family,top2_score,score_margin,top1_positive_signals,top1_negative_signals,max_positive_signals,max_signal_decision,top1_signal_decision,clean_top1_decision
couchdb_CVE-2017-12635,1,couchdb_auth,couchdb_auth,3.788907,tomcat_put,-1.756396,5.545303,3,0,3,known_family,known_family,known_family
couchdb_CVE-2017-12636,1,couchdb_auth,couchdb_auth,1.037621,tomcat_put,-1.198178,2.235798,1,0,1,unknown_family,unknown_family,unknown_family
elasticsearch_CVE-2015-1427,1,elasticsearch,elasticsearch,3.437172,tomcat_put,-1.615236,5.052408,5,0,5,known_family,known_family,known_family
flask_ssti,1,flask,flask,3.791714,thinkphp_rce,0.014787,3.776927,5,0,5,known_family,known_family,known_family
grafana_CVE-2021-43798,1,grafana,grafana,3.420636,spring,1.442309,1.978327,5,1,5,known_family,known_family,unknown_family
jenkins_CVE-2018-1000861,1,jenkins,jenkins,3.740636,tomcat_put,-0.856272,4.596908,3,1,3,known_family,known_family,unknown_family
joomla_CVE-2023-23752,1,joomla,nextjs,-0.911866,joomla,-0.931383,0.019517,0,0,0,unknown_family,unknown_family,unknown_family
nextjs_CVE-2025-29927,1,nextjs,nextjs,-0.911866,joomla,-0.931383,0.019517,0,0,0,unknown_family,unknown_family,unknown_family
nexus_CVE-2020-10199,1,nexus,nexus,1.647472,tomcat_put,-0.856272,2.503744,1,0,1,unknown_family,unknown_family,unknown_family
nexus_CVE-2024-4956,1,nexus,nexus,1.647472,tomcat_put,-0.856272,2.503744,1,0,1,unknown_family,unknown_family,unknown_family
nginx_CVE-2017-7529,1,nginx,nginx,3.420636,tomcat_put,-1.756396,5.177032,3,0,3,known_family,known_family,known_family
redis_CVE-2022-0543,1,redis,redis,3.273875,joomla,1.211361,2.062514,5,0,5,known_family,known_family,known_family
shiro_CVE-2016-4437,1,shiro_key,shiro_key,3.039738,joomla,0.144418,2.89532,2,0,2,known_family,known_family,known_family
solr_CVE-2017-12629-RCE,1,solr_velocity,solr_velocity,3.434366,tomcat_put,-1.550538,4.984904,5,0,5,known_family,known_family,known_family
solr_CVE-2019-17558,1,solr_velocity,solr_velocity,3.798605,joomla,0.144418,3.654188,4,0,4,known_family,known_family,known_family
struts2_s2-045,1,struts2,struts2,2.702595,jenkins,-0.115773,2.818367,4,0,4,known_family,known_family,known_family
thinkphp_5-rce,1,thinkphp_rce,thinkphp_rce,3.420636,tomcat_put,-1.756396,5.177032,3,0,3,known_family,known_family,known_family
thinkphp_5023_rce,1,thinkphp_rce,thinkphp_rce,1.035768,tomcat_put,-1.198178,2.233945,1,0,1,unknown_family,unknown_family,unknown_family
tomcat_CVE-2017-12615,1,tomcat_put,tomcat_put,-0.856272,joomla,-1.926781,1.070508,0,0,1,unknown_family,unknown_family,unknown_family
tomcat_CVE-2020-1938,1,tomcat_ajp,tomcat_ajp,1.757227,tomcat_put,-1.550538,3.307765,2,0,2,known_family,known_family,known_family
shiro_default_key_positive,1,shiro_key,shiro_key,3.017586,nextjs,-0.911866,3.929452,2,0,2,known_family,known_family,known_family
tomcat_ajp_positive,1,tomcat_ajp,tomcat_ajp,1.731043,nextjs,-1.533161,3.264204,2,0,2,known_family,known_family,known_family
tomcat_put_positive,1,tomcat_put,tomcat_put,3.383089,nextjs,-1.533161,4.916249,3,0,3,known_family,known_family,known_family
couchdb_admin_party_positive,1,couchdb_auth,couchdb_auth,3.783893,nextjs,-1.533161,5.317053,3,0,3,known_family,known_family,known_family
solr_velocity_positive,1,solr_velocity,solr_velocity,3.415621,nextjs,-1.533161,4.948781,4,0,4,known_family,known_family,known_family
thinkphp_invokefunction_positive,1,thinkphp_rce,thinkphp_rce,3.415621,flask,0.006965,3.408656,3,0,3,known_family,known_family,known_family
